participant,side,Sampler,seed,fold,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,train error,test error
QP062,Asym_right,CMA-ES,7,2,0.24752270986452946,0.0606242306044677,0.9539683884805695,0.49712902884759846,1.3212378306334174,1.8217907755100888,0.8963234825641716,0.008465016804420512,0.022474563635328064
QP062,Asym_right,CMA-ES,8,1,0.22572605269532459,0.1805931284911544,0.9697436963795267,0.060185740223733686,1.0554054433437503,7.880668548365283,0.6111727626038939,0.023350252091408494,0.012628000371766495
QP062,Asym_right,CMA-ES,8,2,0.24924442963715454,0.06788866613896145,0.8372707289463402,0.35175343569586826,0.26039200951865527,7.129913719942184,0.8820075767499251,0.01304282108603505,0.017059093820093102
QP063,Asym_right,CMA-ES,1,1,0.23842956151483768,0.007023577439024098,0.7733572154155189,0.03191878193212184,0.14227812391082517,6.33401793979898,0.4378808864789935,0.037791452661088396,0.035803810464612146
QP063,Asym_right,CMA-ES,1,2,0.22263683696372577,0.22316237430123737,0.930342432262242,0.2896532800953358,0.6782917412251179,5.457122876653628,0.6307802155624174,0.023061624585592876,0.03629722948911145
QP063,Asym_right,CMA-ES,2,1,0.2661648721953894,0.32282104675637646,0.9258229004040228,0.45964508546785143,2.0594147906977054,4.558738563864222,0.733249133856842,0.042565809429021745,0.02979987495319771
QP063,Asym_right,CMA-ES,2,2,0.22198853154956155,0.2589188239845198,0.9574316796596016,0.3762548178246627,0.6925585955935855,3.295656749525782,0.6589783879554547,0.022650530473731362,0.04300479651890544
QP063,Asym_right,CMA-ES,3,1,0.24876020009268784,0.17293777102094882,0.9170502489776635,0.29262836255716945,1.4140667588237648,5.558208299039801,0.7603554500098358,0.023987041575320785,0.02624190170144816
QP063,Asym_right,CMA-ES,3,2,0.24611889858145308,0.2727073202824807,0.8588364079269042,0.1837731097560009,1.5553085527298747,5.901352648694546,0.6090715069037699,0.03287357257559281,0.03841266729421549
QP063,Asym_right,CMA-ES,4,1,0.17964039774584944,0.07413605983493021,0.8675029100472282,0.33705960735214824,1.4001715969037136,1.584362564111284,0.8502217590395711,0.034623015454211835,0.04534680498326822
QP063,Asym_right,CMA-ES,4,2,0.2676589974436813,0.1306341449011335,0.9476413850005952,0.16953175483237434,1.9418243439843943,3.3080114513114824,0.6087497483919995,0.03293907583268339,0.0313781409827615
QP063,Asym_right,CMA-ES,5,1,0.25527474691642843,0.1334139468987091,0.9107041082934992,0.20166582984924292,2.186597620388,2.015661208603677,0.7239695385377485,0.03232086900018342,0.040112439087581615
QP063,Asym_right,CMA-ES,5,2,0.19764008726136428,0.08934240253411568,0.9920710849476814,0.2564061209886036,0.5931255059408239,2.20889407646146,0.6072428564311156,0.03110696929821057,0.025911332061199124
QP063,Asym_right,CMA-ES,6,1,0.2536429115987137,0.06253857311699831,0.9238149985445855,0.17399951081501405,2.5087986120061716,5.487494466152783,0.596155667621933,0.031973687382104786,0.034519298539353566
QP063,Asym_right,CMA-ES,6,2,0.21599335617930482,0.04138588280749085,0.9259719678243538,0.22126722191306025,0.8835506425590376,7.819719177481749,0.8127120010272362,0.02404109870852099,0.0377499405446628
QP063,Asym_right,CMA-ES,7,1,0.2386831837521573,0.1357517120622546,0.900135925676554,0.31161781053570076,1.5700845346627663,7.24449506374444,0.7967326952293534,0.03880753796639063,0.03872568916662919
QP063,Asym_right,CMA-ES,7,2,0.1514214691553855,0.26915211041910175,0.7996269034590398,0.274616848910332,1.0688895909611302,3.4524603303729298,0.755283608664517,0.050371660107622104,0.07953147736732533
QP063,Asym_right,CMA-ES,8,1,0.22745901777441374,0.13909145622503122,0.9411920290762982,0.3630264544310151,2.351992194261591,4.686784307184483,0.6413444637472697,0.018337810916402193,0.04958188421199229
QP063,Asym_right,CMA-ES,8,2,0.21303555674038133,0.0666441567156105,0.8520983048805212,0.34547336644482823,1.1851538715819203,6.0884294416646165,0.8896662404509807,0.047325436471067454,0.03511217975268628
QP070,Asym_right,CMA-ES,1,1,0.20753334500680032,0.2904941061358895,0.9450390767387619,0.34469546783201693,1.0095054388219613,2.532141494938309,0.5993426661045622,0.02239988929703137,0.058525090986634845
QP070,Asym_right,CMA-ES,1,2,0.20894342730985438,0.34040620101709357,0.9563876017439144,0.3568225223120569,1.1349840561787194,5.712052828972379,0.6309222203077292,0.06454095859023762,0.06221341993343656
QP070,Asym_right,CMA-ES,2,1,0.18392177235677343,0.046716837060950395,0.669260150484797,0.12767622373736714,1.5940222356833866,2.2580575838792423,0.5008707445626841,0.03121289205656429,0.057074454648958425
QP070,Asym_right,CMA-ES,2,2,0.20578652922047647,0.2565032495452584,0.9703916141717346,0.5020230501864166,2.54774823925077,4.735052653811548,0.788470581663534,0.03435476105046922,0.05086859439118718
QP070,Asym_right,CMA-ES,3,1,0.17806751449754143,0.04806695830002699,0.9938848041953527,0.16511251389785195,1.8812646884470472,5.109076229363651,0.5477342315273315,0.04305945609379633,0.027953551756231425
QP070,Asym_right,CMA-ES,3,2,0.19414336371092017,0.05904327038325599,0.807149766331929,0.1998645622954764,2.549526654589898,8.728266868193305,0.613726546690269,0.027378745047797082,0.04198511410494625
QP070,Asym_right,CMA-ES,4,1,0.1944209603126792,0.03377421763279191,0.8237068252967733,0.4084215686944732,0.4583352705359013,4.648699156861761,0.6976734604365091,0.0394669307617322,0.059753469688749575
QP070,Asym_right,CMA-ES,4,2,0.16739424547408133,0.1475073181453364,0.7666109996037728,0.15247663485811308,2.57555173147734,1.8638973701386143,0.5086230402319949,0.030669438474418626,0.05379511848216139
QP070,Asym_right,CMA-ES,5,1,0.23050708167257145,0.01552127477407167,0.9441716887533853,0.21690201245441668,2.8697833595053726,7.325318473686864,0.6997413995391205,0.037191831320313506,0.03470554081401964
QP070,Asym_right,CMA-ES,5,2,0.23618635895841067,0.07809408338604748,0.9308661452313359,0.26471860625098204,0.4801995314552,4.520060193070626,0.6175035817285573,0.026508513540530056,0.03031729398499248
