participant,Sampler,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,lambda_A,lambda_B,train_error
6363364,CMA-ES,0.12367319606873742,0.3899266147809927,0.5277700403485012,0.1277219517853124,0.0944098449643321,5.778626837573245,0.37697965073475326,0.0,0.0,0.009668926715882724
6269773,CMA-ES,0.0447801438833255,0.2545285073186553,0.5563753280336181,0.4657442417421809,0.1699225845370478,4.414652653553645,0.4224569425613737,0.010661751510654204,0.0,0.0035103850059308083
6269770,CMA-ES,0.15023621160064696,0.4421631550601064,0.7064144861023903,0.2231114923116734,0.02208365131741732,5.536156043903824,0.5494024746905856,0.022114935459120192,0.008210175961461862,0.010043235986890284
6269757,CMA-ES,0.10789636078843265,0.13771451316847677,0.22019814357168807,0.4351096404414364,0.057899232897927276,5.756825736404067,0.4923145057543247,0.14201947641755827,0.14362929414010145,0.01893275621908671
6269881,CMA-ES,0.1220333737656265,0.25536024166890686,0.5924841412133477,0.30887131433064186,0.09077196192347334,3.5040065674792684,0.35553336119246676,0.021179624159410212,0.021179919049734222,0.007515175585939749
6357507,CMA-ES,0.14881586830954222,0.3023710297485997,0.5643781472365356,0.1395544528961703,0.1170182638016764,5.6781413984131195,0.8207160160892015,0.17874193558317564,0.15091731192143235,0.05867512888704442
6357495,CMA-ES,0.14303147894048487,0.24511998508247426,0.6301952907102327,0.4639355771589082,0.08143407416949505,4.278947324195474,0.6938024536852347,0.01327789381400303,0.011034071629684715,0.01573694916304345
6357501,CMA-ES,0.21739747370945053,0.31788072289643843,0.42035473298861203,0.24371454895399208,0.13120268664946796,1.5142625445008275,0.6491084876287229,0.10021411128964718,0.10333212337823078,0.019587298035173204
6357497,CMA-ES,0.05368192794601102,0.28484380855119007,0.2648081094495038,0.14846680373446855,0.06914162934088984,6.127374101995658,0.6046317854167056,0.02999153936730478,0.00793719119466465,0.01171003779525526
6357556,CMA-ES,0.08995501538294158,0.46071708564366176,0.3722172475170818,0.07325727735659016,0.15558412440128538,5.510000029553299,0.5010769294363385,0.02130141788557416,0.016292724997571204,0.009126620126908722
6357698,CMA-ES,0.030306486284093416,0.288492969840566,0.686307671828934,0.6723889982077648,0.10117203284962442,3.512998405820887,0.49200166056713757,0.09220007934413825,0.047874146419159984,0.01824973816573214
6357829,CMA-ES,0.07381119521645513,0.060233146596103626,0.48290009461073563,0.47386231175507043,0.04289242205236316,3.359652777169102,0.41130506557824,0.004625702698648317,0.0,0.005830754099249829
